"ID","时间","分类","类型","金额","币种","账户1","账户2","备注","已报销","手续费","优惠券","记账者","账单标记","账单图片"
"qj166562845560618572","2022-10-13 10:34","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166558961635514203","2022-10-12 23:46","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166556672516911067","2022-10-12 17:25","三餐","支出","14.9","CNY",,,"","","","",,,
"qj166554504684119972","2022-10-12 11:24","三餐","支出","23.0","CNY",,,"","","","",,,
"qj166553054997610152","2022-10-12 07:22","运动","支出","20.0","CNY",,,"羽毛球","","","",,,
"qj166552877122312430","2022-10-12 06:52","三餐","支出","5.5","CNY",,,"","","","",,,
"qj166548187173316724","2022-10-11 17:51","果坚奶","支出","82.8","CNY",,,"牛奶1L装12盒","","","",,,
"qj166547869888313996","2022-10-11 16:58","三餐","支出","14.98","CNY",,,"","","","",,,
"qj166545976375017344","2022-10-11 11:42","三餐","支出","26.0","CNY",,,"","","","",,,
"qj166545170253115111","2022-10-11 09:28","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166545168835218634","2022-10-11 09:28","运动","支出","20.0","CNY",,,"","","","",,,
"qj166544269320112142","2022-10-11 06:58","三餐","支出","4.5","CNY",,,"","","","",,,
"qj166539496349515876","2022-10-10 17:42","三餐","支出","12.98","CNY",,,"","","","",,,
"qj166537687567616404","2022-10-10 12:41","生活","支出","50.0","CNY",,,"简书3个月会员","","","",,,
"qj166537566936518456","2022-10-10 12:21","主业","收入","7375.34","CNY",,,"","","","",,,
"qj166537393278115608","2022-10-10 11:52","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166537386914310811","2022-10-10 11:51","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166537107138217088","2022-10-10 11:04","运动","支出","99.0","CNY",,,"羽毛球单拍","","","",,,
"qj166532017062214870","2022-10-09 20:56","通讯","支出","30.0","CNY",,,"vpn","","","",,,
"qj166530779731712447","2022-10-09 17:29","三餐","支出","13.1","CNY",,,"","","","",,,
"qj166528896026714324","2022-10-09 12:15","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166521920823319635","2022-10-08 16:53","三餐","支出","30.1","CNY",,,"","","","",,,
"qj166521361628516682","2022-10-08 15:20","三餐","支出","24.0","CNY",,,"","","","",,,
"qj166521360805516461","2022-10-08 15:20","短途交通","支出","4.0","CNY",,,"","","","",,,
"qj166521360545415480","2022-10-08 15:20","短途交通","支出","6.0","CNY",,,"","","","",,,
"qj166515855725318317","2022-10-08 00:02","三餐","支出","13.5","CNY",,,"","","","",,,
"qj166515778894912235","2022-10-07 23:49","旅行","支出","112.0","CNY",,,"返京住宿","","","",,,
"qj166512920996819832","2022-10-07 15:53","短途交通","支出","9.0","CNY",,,"","","","",,,
"qj166496053723412166","2022-10-05 17:02","家人","支出","22.0","CNY",,,"小吃","","","",,,
"qj166487906731318828","2022-10-04 18:24","家人","支出","108.0","CNY",,,"家庭吃饭","","","",,,
"qj166487724428219446","2022-10-04 17:54","社交","支出","80.0","CNY",,,"","","","",,,
"qj166486955997216892","2022-10-04 15:45","社交","支出","6.0","CNY",,,"水","","","",,,
"qj166486950921317296","2022-10-04 15:45","运动","支出","40.0","CNY",,,"羽毛球","","","",,,
"qj166486947410011302","2022-10-04 15:44","社交","支出","80.0","CNY",,,"聚餐","","","",,,
"qj166479734123011207","2022-10-03 19:42","三餐","支出","8.0","CNY",,,"","","","",,,
"qj166476364498316077","2022-10-03 10:20","三餐","支出","6.0","CNY",,,"","","","",,,
"qj166472700165414426","2022-10-03 00:09","生活","支出","120.0","CNY",,,"运动打卡失败","","","",,,
"qj166472126257016235","2022-10-02 22:34","三餐","支出","18.0","CNY",,,"","","","",,,
"qj166469278817713234","2022-10-02 14:39","生活","支出","48.0","CNY",,,"","","","",,,
"qj166469243462217431","2022-10-02 14:33","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166469138644410880","2022-10-02 14:16","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166469132133511744","2022-10-02 14:14","通讯","支出","27.17","CNY",,,"","","","",,,
"qj166469133655615363","2022-10-01 14:15","三餐","支出","15.0","CNY",,,"","","","",,,
"qj166457845587411863","2022-10-01 06:54","三餐","支出","7.5","CNY",,,"","","","",,,
"qj166454945187014910","2022-09-30 22:50","其它","收入","12.53","CNY",,,"公司节日红包","","","",,,
"qj166454894171516265","2022-09-30 22:42","三餐","支出","18.4","CNY",,,"","","","",,,
"qj166454893093817078","2022-09-30 22:42","果坚奶","支出","10.1","CNY",,,"","","","",,,
"qj166452962938813570","2022-09-30 17:20","三餐","支出","19.59","CNY",,,"","","","",,,
"qj166451083658911466","2022-09-30 12:07","运动","支出","78.0","CNY",,,"登山","","","",,,
"qj166451078253212937","2022-09-30 12:06","三餐","支出","23.0","CNY",,,"","","","",,,
"qj166444510235612887","2022-09-29 17:51","三餐","支出","19.59","CNY",,,"","","","",,,
"qj166442453075310000","2022-09-29 12:08","短途交通","支出","6.4","CNY",,,"","","","",,,
"qj166442343417412773","2022-09-29 11:50","三餐","支出","15.25","CNY",,,"","","","",,,
"qj166441226947118826","2022-09-29 08:44","三餐","支出","3.5","CNY",,,"","","","",,,
"qj166436326623811625","2022-09-28 19:07","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166433638627510027","2022-09-28 11:39","三餐","支出","26.0","CNY",,,"","","","",,,
"qj166433140159817291","2022-09-28 10:16","短途交通","支出","6.4","CNY",,,"","","","",,,
"qj166433134861319846","2022-09-28 10:15","运动","支出","20.0","CNY",,,"羽毛球","","","",,,
"qj166429557917016740","2022-09-28 00:19","短途交通","支出","7.2","CNY",,,"","","","",,,
"qj166427213430517959","2022-09-27 17:48","三餐","支出","19.5","CNY",,,"","","","",,,
"qj166425201918719421","2022-09-27 12:13","副业","收入","8.97","CNY",,,"吉吉运动打卡群介绍费","","","",,,
"qj166425004019714484","2022-09-27 11:40","三餐","支出","14.65","CNY",,,"","","","",,,
"qj166418456459814254","2022-09-26 17:29","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166418455428917013","2022-09-26 17:29","三餐","支出","18.69","CNY",,,"","","","",,,
"qj166408315942112745","2022-09-25 13:19","三餐","支出","13.5","CNY",,,"","","","",,,
"qj166408021795118175","2022-09-25 12:30","社交","支出","53.0","CNY",,,"和小希ta们聚餐","","","",,,
"qj166403625148715666","2022-09-25 00:17","家人","支出","500.0","CNY",,,"","","","",,,
"qj166399916053314134","2022-09-24 13:59","三餐","支出","9.32","CNY",,,"","","","",,,
"qj166398369292217585","2022-09-24 09:41","水电","支出","50.0","CNY",,,"","","","",,,
"qj166398369023818937","2022-09-24 09:41","房租","支出","850.0","CNY",,,"","","","",,,
"qj166392456604918573","2022-09-23 17:16","三餐","支出","17.6","CNY",,,"","","","",,,
"qj166390523514111855","2022-09-23 11:53","三餐","支出","11.8","CNY",,,"","","","",,,
"qj166385137113510900","2022-09-22 20:56","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166385136795019135","2022-09-22 20:56","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166385135102515531","2022-09-22 20:55","短途交通","支出","5.0","CNY",,,"","","","",,,
"qj166385134537211046","2022-09-22 20:55","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166375104145412148","2022-09-21 17:04","三餐","支出","19.5","CNY",,,"","","","",,,
"qj166373347989316506","2022-09-21 12:11","学习","支出","131.4","CNY",,,"根源金句课","","","",,,
"qj166373077326713511","2022-09-21 11:26","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166366440754917836","2022-09-20 17:00","三餐","支出","19.6","CNY",,,"","","","",,,
"qj166364476590311204","2022-09-20 11:32","三餐","支出","23.0","CNY",,,"","","","",,,
"qj166358226388118173","2022-09-19 18:11","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166355916023113742","2022-09-19 11:46","三餐","支出","18.0","CNY",,,"","","","",,,
"qj166354677467419533","2022-09-19 08:19","长途交通","支出","129.0","CNY",,,"","","","",,,
"qj166346632249616877","2022-09-18 09:58","三餐","支出","6.0","CNY",,,"","","","",,,
"qj166340870473219083","2022-09-17 17:58","三餐","支出","2.4","CNY",,,"","","","",,,
"qj166340869984418838","2022-09-17 17:58","三餐","支出","7.2","CNY",,,"","","","",,,
"qj166340869654711559","2022-09-17 17:58","果坚奶","支出","6.0","CNY",,,"","","","",,,
"qj166340869335915390","2022-09-17 17:58","三餐","支出","2.3","CNY",,,"","","","",,,
"qj166340868872019883","2022-09-17 17:58","三餐","支出","4.6","CNY",,,"","","","",,,
"qj166340868483717269","2022-09-17 17:58","果坚奶","支出","6.0","CNY",,,"","","","",,,
"qj166340867390719307","2022-09-17 17:57","果坚奶","支出","10.5","CNY",,,"","","","",,,
"qj166330124099718276","2022-09-16 12:07","三餐","支出","18.0","CNY",,,"","","","",,,
"qj166329684375416275","2022-09-16 10:54","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166323092006911525","2022-09-15 16:35","三餐","支出","11.58","CNY",,,"","","","",,,
"qj166321563401916000","2022-09-15 12:20","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166321352888714604","2022-09-15 11:45","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166314531329012136","2022-09-14 16:48","三餐","支出","14.19","CNY",,,"","","","",,,
"qj166314509786914809","2022-09-14 16:44","生活","支出","4.8","CNY",,,"","","","",,,
"qj166312774529515124","2022-09-14 11:55","三餐","支出","24.0","CNY",,,"","","","",,,
"qj166307624872912011","2022-09-13 21:37","三餐","支出","20.6","CNY",,,"","","","",,,
"qj166307621719117110","2022-09-13 21:36","通讯","支出","27.93","CNY",,,"","","","",,,
"qj166299025807518035","2022-09-12 21:44","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166296260297912861","2022-09-12 14:03","三餐","支出","15.0","CNY",,,"","","","",,,
"qj166294295318510356","2022-09-12 08:35","三餐","支出","5.0","CNY",,,"","","","",,,
"qj166294271200110817","2022-09-12 08:31","三餐","支出","3.5","CNY",,,"","","","",,,
"qj166289525835719000","2022-09-11 19:20","三餐","支出","15.0","CNY",,,"","","","",,,
"qj166289142643918619","2022-09-11 18:17","短途交通","支出","17.0","CNY",,,"","","","",,,
"qj166287020048814311","2022-09-11 12:23","三餐","支出","14.0","CNY",,,"","","","",,,
"qj166605133259017490","2022-09-10 21:13","主业","收入","7375.34","CNY",,,"","","","",,,
"qj166281563590816934","2022-09-10 21:13","三餐","支出","16.0","CNY",,,"","","","",,,
"qj166278919763012909","2022-09-10 13:53","三餐","支出","16.0","CNY",,,"","","","",,,
"qj166276914777411924","2022-09-10 08:19","三餐","支出","5.5","CNY",,,"","","","",,,
"qj166273381236413273","2022-09-09 22:30","其它","收入","97.36","CNY",,,"红包","","","",,,
"qj166271489481317339","2022-09-09 17:14","三餐","支出","11.19","CNY",,,"","","","",,,
"qj166269455515717426","2022-09-09 11:35","三餐","支出","27.0","CNY",,,"","","","",,,
"qj166264832072717515","2022-09-08 22:45","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166262754664511580","2022-09-08 16:59","三餐","支出","11.28","CNY",,,"","","","",,,
"qj166259176776513570","2022-09-08 07:02","三餐","支出","3.0","CNY",,,"2鸡蛋","","","",,,
"qj166254275421912003","2022-09-07 17:25","三餐","支出","31.79","CNY",,,"","","","",,,
"qj166252257645916948","2022-09-07 11:49","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166252257384116152","2022-09-07 11:49","三餐","支出","16.0","CNY",,,"","","","",,,
"qj166243640713217851","2022-09-06 11:53","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166243640133117263","2022-09-06 11:53","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166243108189119283","2022-09-06 10:24","学习","支出","19.0","CNY",,,"微信读书","","","",,,
"qj166238880958617716","2022-09-05 22:40","短途交通","支出","8.0","CNY",,,"","","","",,,
"qj166235893822716995","2022-09-05 14:22","运动","支出","159.9","CNY",,,"泳镜","","","",,,
"qj166234717989812911","2022-09-05 11:06","运动","支出","6.0","CNY",,,"锁子","","","",,,
"qj166229756621316511","2022-09-04 21:19","运动","支出","6000.0","CNY",,,"游泳","","","",,,
"qj166229571403710293","2022-09-04 20:48","短途交通","支出","18.17","CNY",,,"打车","","","",,,
"qj166228133642111566","2022-09-04 16:48","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166219851940010685","2022-09-03 17:48","三餐","支出","41.1","CNY",,,"","","","",,,
"qj166219850712510012","2022-09-03 17:48","果坚奶","支出","10.5","CNY",,,"","","","",,,
"qj166213112688812428","2022-09-02 23:05","果坚奶","支出","6.5","CNY",,,"","","","",,,
"qj166211433668910246","2022-09-02 18:25","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166209140771011464","2022-09-02 12:03","三餐","支出","18.0","CNY",,,"","","","",,,
"qj166204977436916343","2022-09-02 00:29","运动","支出","54.7","CNY",,,"刹车线和剪线钳子","","","",,,
"qj166203828867518345","2022-09-01 21:18","短途交通","支出","5.0","CNY",,,"","","","",,,
"qj166202283168315687","2022-09-01 17:00","三餐","支出","18.79","CNY",,,"","","","",,,
"qj166200429489617102","2022-09-01 11:51","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166191873033014395","2022-08-31 12:05","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166185595615615449","2022-08-30 18:39","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166183152890610650","2022-08-30 11:52","三餐","支出","20.0","CNY",,,"","","","",,,
"qj166183033875819712","2022-08-30 11:32","学习","支出","18.0","CNY",,,"简书会员","","","",,,
"qj166176533445414624","2022-08-29 17:28","三餐","支出","17.79","CNY",,,"","","","",,,
"qj166174430755013525","2022-08-29 11:38","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166167996120617234","2022-08-28 17:46","三餐","支出","11.0","CNY",,,"","","","",,,
"qj166167499396719664","2022-08-28 16:23","三餐","支出","16.0","CNY",,,"","","","",,,
"qj166166584782119258","2022-08-28 13:50","果坚奶","支出","11.0","CNY",,,"","","","",,,
"qj166158811612212501","2022-08-27 16:15","三餐","支出","15.0","CNY",,,"","","","",,,
"qj166153230298519501","2022-08-27 00:44","三餐","支出","4.5","CNY",,,"饼干","","","",,,
"qj166148486868818082","2022-08-26 11:34","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166142975838216016","2022-08-25 20:15","家人","支出","71.53","CNY",,,"3本书","","","",,,
"qj166142063324211751","2022-08-25 17:43","三餐","支出","22.5","CNY",,,"","","","",,,
"qj166140022130210623","2022-08-25 12:03","三餐","支出","19.0","CNY",,,"","","","",,,
"qj166138921694618818","2022-08-25 09:00","水电","支出","55.0","CNY",,,"","","","",,,
"qj166138921424316677","2022-08-25 09:00","房租","支出","850.0","CNY",,,"","","","",,,
"qj166133336574610881","2022-08-24 17:29","三餐","支出","10.9","CNY",,,"","","","",,,
"qj166131355659916637","2022-08-24 11:59","三餐","支出","19.0","CNY",,,"","","","",,,
"qj166124655804811438","2022-08-23 17:22","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166124655233713225","2022-08-23 17:22","三餐","支出","18.6","CNY",,,"","","","",,,
"qj166116092386812940","2022-08-22 17:35","三餐","支出","20.5","CNY",,,"","","","",,,
"qj166113981041317861","2022-08-22 11:43","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166106728534715552","2022-08-21 15:34","果坚奶","支出","10.5","CNY",,,"西瓜","","","",,,
"qj166106719280917232","2022-08-21 15:33","三餐","支出","30.5","CNY",,,"卤煮26，饼夹豆腐丝","","","",,,
"qj166097234381114068","2022-08-20 13:12","三餐","支出","13.0","CNY",,,"","","","",,,
"qj166096793201713534","2022-08-20 11:58","通讯","支出","27.93","CNY",,,"","","","",,,
"qj166092115061312619","2022-08-19 22:59","三餐","支出","4.0","CNY",,,"","","","",,,
"qj166087930680912281","2022-08-19 11:21","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj166087930165912810","2022-08-19 11:21","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166081318823818777","2022-08-18 16:59","三餐","支出","14.9","CNY",,,"","","","",,,
"qj166081318263813687","2022-08-18 16:59","三餐","支出","16.0","CNY",,,"美团红包没诚意","","","",,,
"qj166079418835816477","2022-08-18 11:43","三餐","支出","19.0","CNY",,,"","","","",,,
"qj166078513501910478","2022-08-18 09:12","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166072932713214923","2022-08-17 17:42","三餐","支出","19.59","CNY",,,"","","","",,,
"qj166070906813512181","2022-08-17 12:04","三餐","支出","10.0","CNY",,,"","","","",,,
"qj166070906409819190","2022-08-17 12:04","三餐","支出","22.0","CNY",,,"","","","",,,
"qj166063966258616100","2022-08-16 16:47","三餐","支出","22.5","CNY",,,"","","","",,,
"qj166063365591815073","2022-08-16 15:07","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166062178506218198","2022-08-16 11:49","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166057765173912134","2022-08-15 23:34","果坚奶","支出","10.6","CNY",,,"","","","",,,
"qj166055965680612723","2022-08-15 18:34","生活","支出","4.6","CNY",,,"","","","",,,
"qj166055621640817485","2022-08-15 17:36","三餐","支出","21.5","CNY",,,"","","","",,,
"qj166053615006117375","2022-08-15 12:02","三餐","支出","18.0","CNY",,,"","","","",,,
"qj166046182003413694","2022-08-14 15:23","三餐","支出","12.0","CNY",,,"","","","",,,
"qj166046184854012307","2022-08-13 18:38","学习","支出","3000.0","CNY",,,"亲密关系","","","",,,
"qj166038708909215622","2022-08-13 18:38","短途交通","支出","12.0","CNY",,,"","","","",,,
"qj166036342318317822","2022-08-13 12:03","生活","支出","16.8","CNY",,,"理发","","","",,,
"qj166036341377318824","2022-08-13 12:03","果坚奶","支出","5.0","CNY",,,"","","","",,,
"qj166036194567514329","2022-08-13 11:39","三餐","支出","16.0","CNY",,,"","","","",,,
"qj166029648972818845","2022-08-12 17:28","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166029648567218110","2022-08-12 17:28","三餐","支出","20.0","CNY",,,"","","","",,,
"qj166027524948818326","2022-08-12 11:34","三餐","支出","19.0","CNY",,,"","","","",,,
"qj166020908686616622","2022-08-11 17:11","三餐","支出","18.9","CNY",,,"","","","",,,
"qj166019108492114689","2022-08-11 12:11","三餐","支出","10.0","CNY",,,"","","","",,,
"qj166018884360116515","2022-08-11 11:34","三餐","支出","21.0","CNY",,,"","","","",,,
"qj166012092894714747","2022-08-10 16:42","三餐","支出","19.6","CNY",,,"","","","",,,
"qj166012074715916591","2022-08-10 16:39","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166010242008110395","2022-08-10 11:33","三餐","支出","23.0","CNY",,,"","","","",,,
"qj166003992766513231","2022-08-09 18:12","主业","收入","7375.34","CNY",,,"","","","",,,
"qj166003874702514279","2022-08-09 17:52","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj166003872326816422","2022-08-09 17:52","三餐","支出","17.6","CNY",,,"","","","",,,
"qj166001648852414113","2022-08-09 11:41","三餐","支出","21.0","CNY",,,"","","","",,,
"qj165997038685017564","2022-08-08 22:53","果坚奶","支出","12.6","CNY",,,"3个大桃","","","",,,
"qj165994984971012365","2022-08-08 17:10","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165994984583317189","2022-08-08 17:10","三餐","支出","16.5","CNY",,,"","","","",,,
"qj165992904222819138","2022-08-08 11:23","三餐","支出","13.0","CNY",,,"","","","",,,
"qj165984704475914639","2022-08-07 12:37","果坚奶","支出","6.5","CNY",,,"香蕉","","","",,,
"qj165984703491417389","2022-08-07 12:37","生活","支出","0.5","CNY",,,"电池，好便宜啊","","","",,,
"qj165984702445411698","2022-08-07 12:36","三餐","支出","15.0","CNY",,,"","","","",,,
"qj165978239019218123","2022-08-06 18:39","三餐","支出","16.0","CNY",,,"","","","",,,
"qj165975545572316159","2022-08-06 11:10","学习","支出","9.0","CNY",,,"微信读书","","","",,,
"qj165975324208315465","2022-08-06 10:33","生活","支出","150.0","CNY",,,"聚餐","","","",,,
"qj165967250867315969","2022-08-05 12:08","三餐","支出","19.0","CNY",,,"","","","",,,
"qj165967250556910690","2022-08-05 12:08","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165960561853011241","2022-08-04 17:33","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165960561444619880","2022-08-04 17:33","三餐","支出","16.6","CNY",,,"","","","",,,
"qj165958472382215843","2022-08-04 11:45","三餐","支出","23.0","CNY",,,"","","","",,,
"qj165951730414217149","2022-08-03 17:01","三餐","支出","19.5","CNY",,,"","","","",,,
"qj165949673769510281","2022-08-03 11:18","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165949673279910379","2022-08-03 11:18","三餐","支出","16.0","CNY",,,"","","","",,,
"qj165942956340212037","2022-08-02 16:39","三餐","支出","16.98","CNY",,,"","","","",,,
"qj165941141638711971","2022-08-02 11:36","三餐","支出","21.0","CNY",,,"","","","",,,
"qj165940698625718775","2022-08-02 10:23","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165934419207315757","2022-08-01 16:56","三餐","支出","19.94","CNY",,,"","","","",,,
"qj165932473122612269","2022-08-01 11:32","三餐","支出","23.0","CNY",,,"","","","",,,
"qj165926228153418977","2022-07-31 18:11","三餐","支出","14.0","CNY",,,"","","","",,,
"qj165924326853511223","2022-07-31 12:54","三餐","支出","16.0","CNY",,,"","","","",,,
"qj165924116567818606","2022-07-31 12:19","三餐","支出","29.9","CNY",,,"1箱玉米，8个","","","",,,
"qj165916166923817582","2022-07-30 14:14","零食","支出","18.3","CNY",,,"","","","",,,
"qj165908365878519451","2022-07-29 16:34","三餐","支出","15.08","CNY",,,"","","","",,,
"qj165906476020214992","2022-07-29 11:19","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj165906475504219277","2022-07-29 11:19","三餐","支出","12.0","CNY",,,"","","","",,,
"qj165897779117419937","2022-07-28 11:09","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj165890942552410306","2022-07-27 16:10","三餐","支出","16.2","CNY",,,"","","","",,,
"qj165889321972111042","2022-07-27 11:40","三餐","支出","22.0","CNY",,,"","","","",,,
"qj165889238725617688","2022-07-27 11:26","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj165889237956612467","2022-07-27 11:26","短途交通","支出","4.2","CNY",,,"","","","",,,
"qj165882535571918606","2022-07-26 16:49","三餐","支出","18.38","CNY",,,"","","","",,,
"qj165880654156718206","2022-07-26 11:35","三餐","支出","20.0","CNY",,,"","","","",,,
"qj165871888850815665","2022-07-25 11:14","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj165865821346512053","2022-07-24 18:23","果坚奶","支出","10.1","CNY",,,"","","","",,,
"qj165865820453118853","2022-07-24 18:23","三餐","支出","19.2","CNY",,,"馒头，饼丝，菜，","","","",,,
"qj165865651217817726","2022-07-24 17:55","生活","支出","120.0","CNY",,,"修马桶和水管","","","",,,
"qj165865649145717848","2022-07-24 17:54","三餐","支出","16.0","CNY",,,"","","","",,,
"qj165863712288919764","2022-07-24 12:32","水电","支出","40.0","CNY",,,"","","","",,,
"qj165863711796819958","2022-07-24 12:31","房租","支出","850.0","CNY",,,"","","","",,,
"qj165861503218715825","2022-07-24 06:23","三餐","支出","6.0","CNY",,,"","","","",,,
"qj165858574352314024","2022-07-23 22:15","三餐","支出","11.0","CNY",,,"","","","",,,
"qj165855700447414317","2022-07-23 14:16","零食","支出","5.0","CNY",,,"冰棍和冰激凌","","","",,,
"qj165855475103313398","2022-07-23 13:39","三餐","支出","12.0","CNY",,,"","","","",,,
"qj165849797061910401","2022-07-22 21:52","短途交通","支出","4.2","CNY",,,"","","","",,,
"qj165846067994511480","2022-07-22 11:31","三餐","支出","20.0","CNY",,,"","","","",,,
"qj165844293046211239","2022-07-22 06:35","三餐","支出","8.0","CNY",,,"","","","",,,
"qj165839677314716788","2022-07-21 17:46","三餐","支出","22.0","CNY",,,"","","","",,,
"qj165837490648217700","2022-07-21 11:41","三餐","支出","20.0","CNY",,,"","","","",,,
"qj165830564578213655","2022-07-20 16:27","三餐","支出","21.5","CNY",,,"","","","",,,
"qj165828808110419326","2022-07-20 11:34","三餐","支出","19.0","CNY",,,"","","","",,,
"qj165828251744413062","2022-07-20 10:01","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj165822058540413854","2022-07-19 16:49","三餐","支出","18.9","CNY",,,"","","","",,,
"qj165821088213018335","2022-07-19 14:08","家人","支出","20.56","CNY",,,"道德经和生活的艺术家","","","",,,
"qj165820221666418883","2022-07-19 11:43","短途交通","支出","8.4","CNY",,,"","","","",,,
"qj165820220555119866","2022-07-19 11:43","三餐","支出","18.0","CNY",,,"","","","",,,
"qj165813506122015584","2022-07-18 17:04","三餐","支出","20.0","CNY",,,"","","","",,,
"qj165811536792619162","2022-07-18 11:36","三餐","支出","21.0","CNY",,,"","","","",,,
"qj165811193458015757","2022-07-18 10:38","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165804433529216986","2022-07-17 15:52","生活","支出","149.0","CNY",,,"网易严选会员","","","",,,
"qj165811193906718152","2022-07-17 10:38","三餐","支出","13.0","CNY",,,"","","","",,,
"qj165797144417119189","2022-07-16 19:37","三餐","支出","9.0","CNY",,,"","","","",,,
"qj165795256264916946","2022-07-16 14:22","果坚奶","支出","6.3","CNY",,,"","","","",,,
"qj165795061801919604","2022-07-16 13:50","三餐","支出","14.0","CNY",,,"","","","",,,
"qj165787833369611036","2022-07-15 17:45","三餐","支出","14.4","CNY",,,"","","","",,,
"qj165785693278717011","2022-07-15 11:48","三餐","支出","23.0","CNY",,,"","","","",,,
"qj165778998354411595","2022-07-14 17:13","三餐","支出","21.5","CNY",,,"","","","",,,
"qj165777100914618906","2022-07-14 11:56","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165777100571614243","2022-07-14 11:56","三餐","支出","22.0","CNY",,,"","","","",,,
"qj165772791319117020","2022-07-13 23:58","三餐","支出","11.0","CNY",,,"","","","",,,
"qj165770478112912481","2022-07-13 17:33","三餐","支出","12.48","CNY",,,"","","","",,,
"qj165768341702817194","2022-07-13 11:36","三餐","支出","22.0","CNY",,,"","","","",,,
"qj165764208040511562","2022-07-13 00:07","生活","支出","23.0","CNY",,,"凉鞋","","","",,,
"qj165761639638116781","2022-07-12 16:59","三餐","支出","9.4","CNY",,,"","","","",,,
"qj165759754077418685","2022-07-12 11:45","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165759753645216266","2022-07-12 11:45","三餐","支出","12.0","CNY",,,"","","","",,,
"qj165752869210817866","2022-07-11 16:38","三餐","支出","21.5","CNY",,,"","","","",,,
"qj165751130358518194","2022-07-11 11:48","短途交通","支出","10.0","CNY",,,"","","","",,,
"qj165750200440613676","2022-07-11 09:13","三餐","支出","7.5","CNY",,,"","","","",,,
"qj165750015933414792","2022-07-11 08:42","旅行","支出","81.0","CNY",,,"送小树，然后回家。","","","",,,
"qj165926699320818682","2022-07-10 19:29","主业","收入","7427.17","CNY",,,"","","","",,,
"qj165745063919715604","2022-07-10 18:57","旅行","支出","1.0","CNY",,,"公交","","","",,,
"qj165744642486214728","2022-07-10 17:47","旅行","支出","39.0","CNY",,,"泰式柠檬茶和红豆双皮奶","","","",,,
"qj165744440567212954","2022-07-10 17:13","旅行","支出","10.0","CNY",,,"观光车","","","",,,
"qj165744439423915953","2022-07-10 17:13","旅行","支出","50.0","CNY",,,"2份爆肚","","","",,,
"qj165743812736910971","2022-07-10 15:28","旅行","支出","3.0","CNY",,,"地铁","","","",,,
"qj165742788850410997","2022-07-10 12:38","旅行","支出","18.0","CNY",,,"2冰淇淋","","","",,,
"qj165742546365619537","2022-07-10 11:57","旅行","支出","138.0","CNY",,,"卤煮太咸了","","","",,,
